word	level	also	pinyin	pos
后裔	7		hòuyì	名
后退	6		hòutuì	动
后遗症	7		hòuyízhèng	名
后面	2		hòumiàn	名
后顾之忧	7		hòugùzhīyōu	
吐	6		tù	动
吐槽	7		tǔcáo	动
向	3		xiàng	动、介
向上	5		xiàngshàng	动
向导	7		xiàngdǎo	名
向往	6		xiàngwǎng	动
向来	7		xiànglái	副
吓	6		xià	动
吓人	7		xiàrén	形
吓唬	7		xiàhu	动
吗	1		ma	助
君子	7		jūnzǐ	名
吝啬	7		lìnsè	形
吞	6		tūn	动
吞吞吐吐	7		tūntūntǔtǔ	形
否决	7		fǒujué	动
否则	4		fǒuzé	连
否定	5		fǒudìng	动、形
否认	5		fǒurèn	动
吧	1		ba	助
吨	5		dūn	量
吩咐	7		fēnfù	动
含	5		hán	动
含义	6		hányì	名
含有	5		hányǒu	动
含糊	7		hánhu	形
含蓄	7		hánxù	动、形
含量	5		hánliàng	名
听	1		tīng	动
听从	7		tīngcóng	动
听众	4		tīngzhòng	名
听力	4		tīnglì	名
听取	6		tīngqǔ	动
听见	1		tīngjiàn	动
听觉	6		tīngjué	名
听话	6		tīnghuà	形
听说	3		tīngshuō	动
启事	6		qǐshì	名
启动	6		qǐdòng	动
启发	6		qǐfā	动
启用	7		qǐyòng	动
启示	6		qǐshì	动、名
启程	7		qǐchéng	动
启蒙	7		qǐméng	动
启迪	7		qǐdí	动
吵	5		chǎo	形、动
吵架	6		chǎojià	动
吸	4		xī	动
吸取	6		xīqǔ	动
吸引	4		xīyǐn	动
吸收	5		xīshōu	动
吸毒	7		xīdú	动
吸管	5		xīguǎn	名
吸纳	7		xīnà	动
吹	4		chuī	动
吹捧	7		chuīpěng	动
吹牛	7		chuīniú	动
吻	7		wěn	动、名
吻合	7		wěnhé	形
吼	7		hǒu	动
呀	5		yā	叹
呆	6		dāi	形
呈	7		chéng	动
呈现	6		chéngxiàn	动
告	7		gào	动
告别	5		gàobié	动
告状	7		gàozhuàng	动
告知	7		gàozhī	动
告示	7		gàoshi	名
告诉	2		gàosu	动
告诫	7		gàojiè	动
告辞	7		gàocí	动
呐喊	7		nàhǎn	动
呕吐	7		ǒutù	动
员	3		yuán	后缀
员工	5		yuángōng	名
呛	7		qiàng	动
呜咽	7		wūyè	动
呢	1		ne	助
周	2	6	zhōu	名、（量）
周到	6		zhōudào	形
周围	4		zhōuwéi	名
周密	7		zhōumì	形
周岁	7		zhōusuì	名
周年	5		zhōunián	名
周折	7		zhōuzhé	名
周旋	7		zhōuxuán	动
周期	6		zhōuqī	名
周末	3		zhōumò	名
周转	7		zhōuzhuǎn	动
周边	6		zhōubiān	名
味	4		wèi	名
味精	7		wèijīng	名
味觉	6		wèijué	名
味道	4		wèidào	名
呵	7		hē	动
呵护	7		hēhù	动
呻吟	7		shēnyín	动
呼	7		hū	动
呼吁	7		hūyù	动
呼吸	5		hūxī	动
呼唤	7		hūhuàn	动
呼啸	7		hūxiào	动
呼声	7		hūshēng	名
呼应	7		hūyìng	动
呼救	7		hūjiù	动
命	5		mìng	名
命令	6		mìnglìng	动、名
命名	6		mìngmíng	动
命运	5		mìngyùn	名
咀嚼	7		jǔjué	动
和	1		hé	介、连
和好	7		héhǎo	形、动
和尚	7		héshang	名
和平	6		hépíng	名
和平共处	7		hépíng	gòngchǔ
和气	7		héqi	形、名
和睦	7		hémù	形
和蔼	7		hé’ǎi	形
和解	7		héjiě	动
和谐	6		héxié	形
咖啡	2		kāfēi	名
咧嘴	7		liězuǐ	动
咨询	5		zīxún	动
咬	5		yǎo	动
咱们	3		zánmen	代
咳	4		ké	动
咳嗽	4		késou	动
咸	4		xián	形
咽	7		yàn	动
咽喉	7		yānhóu	名
哀求	7		āiqiú	动
品	5	7	pǐn	后缀、（动）
品位	7		pǐnwèi	名
品味	7		pǐnwèi	动、名
品尝	6		pǐncháng	动
品德	7		pǐndé	名
品牌	5		pǐnpái	名
品种	5		pǐnzhǒng	名
品行	7		pǐnxíng	名
品质	5		pǐnzhì	名
哄	7		hǒng	动
哄堂大笑	7		hōngtáng-dàxiào	
哆嗦	7		duōsuo	动
哇	6		wā	拟声
哈	5		hā	拟声、叹
响	4		xiǎng	动、形
响亮	7		xiǎngliàng	形
响声	5		xiǎngshēng	名
响应	7		xiǎngyìng	动
哎	5		āi	叹
哎呀	5		āiyā	叹
哑	7		yǎ	形
哗然	7		huárán	形
哥哥	1		gēge	名
哦	5		ò	叹
哨	7		shào	名
哪	1		nǎ	代
哪个	1		nǎge	代
哪些	1		nǎxiē	代
哪儿	1		nǎr	代
哪怕	5		nǎpà	连
哪里	1		nǎlǐ	代
哭	3		kū	动
哭泣	7		kūqì	动
哭笑不得	7		kūxiào-bùdé	
哲学	5		zhéxué	名
哲理	7		zhélǐ	名
哺乳	7		bǔrǔ	动
哺育	7		bǔyù	动
哼	7		hēng	动
哽咽	7		gěngyè	动
唉	5		ài	叹
唠叨	7		láodao	动
唤起	7		huànqǐ	动
唤醒	7		huànxǐng	动
售价	5		shòujià	名
售票员	4		shòupiàoyuán	名
唯	7		wéi	副
唯一	5		wéiyī	形
唯有	7		wéiyǒu	连、副
唯独	7		wéidú	副
唱	1		chàng	动
唱片	7		chàngpiàn	名
唾弃	7		tuòqì	动
唾液	7		tuòyè	名
啃	7		kěn	动
商业	5		shāngyè	名
商人	5		shāngrén	名
商务	5		shāngwù	名
商品	4		shāngpǐn	名
商场	2		shāngchǎng	名
商家	5		shāngjiā	名
商店	1		shāngdiàn	名
商机	7		shāngjī	名
商标	6		shāngbiāo	名
商用	7		shāngyòng	形
商讨	7		shāngtǎo	动
商议	7		shāngyì	动
商贩	7		shāngfàn	名
商贾	7		shānggǔ	名
商量	4		shāngliang	动
啊	2		a	助
啤酒	3		píjiǔ	名
啦	6		la	助
啦啦队	7		lālāduì	名
啰唆	7		luōsuo	形、动
喂	1		wèi	叹
喂养	7		wèiyǎng	动
善	7		shàn	形
善于	5		shànyú	动
善意	7		shànyì	名
善良	5		shànliáng	形
喇叭	7		lǎba	名
喉咙	7		hóulóng	名
喊	4		hǎn	动
喘	7		chuǎn	动
喘息	7		chuǎnxī	动
喜事	6		xǐshì	名
喜出望外	7		xǐchūwàngwài	
喜剧	6		xǐjù	名
喜好	7		xǐhào	动
喜庆	7		xǐqìng	形、名
喜怒哀乐	7		xǐ-nù-āi-lè	
喜悦	7		xǐyuè	形
喜欢	1		xǐhuan	动
喜洋洋	7		xǐyángyáng	形
喜爱	3		xǐ’ài	动
喜糖	7		xǐtáng	名
喜酒	7		xǐjiǔ	名
喜闻乐见	7		xǐwén-lèjiàn	
喝	1		hē	动
喝彩	7		hècǎi	动
喧哗	7		xuānhuá	形、动
喧闹	7		xuānnào	形、动
喷	6		pēn	动
喷泉	7		pēnquán	名
嗅	7		xiù	动
嗅觉	7		xiùjué	名
嗓子	6		sǎngzi	名
嗓音	7		sǎngyīn	名
嗜好	7		shìhào	名
嗯	4		ǹg	叹
嘀咕	7		dígu	动
嘈杂	7		cáozá	形
嘉宾	5		jiābīn	名
嘉年华	7		jiāniánhuá	名
嘛	6		ma	助
嘱咐	7		zhǔfù	动
嘱托	7		zhǔtuō	动
嘲弄	7		cháonòng	动
嘲笑	6		cháoxiào	动
嘴	3		zuǐ	名
嘴唇	7		zuǐchún	名
嘴巴	5		zuǐba	名
嘿	6		hēi	叹
器具	7		qìjù	名
器官	7		qìguān	名
器材	7		qìcái	名
器械	7		qìxiè	名
器重	7		qìzhòng	动
噩耗	7		èhào	名
噪声	6		zàoshēng	名
嚣张	7		xiāozhāng	形
嚷	7		rǎng	动
嚼	7		jiáo	动
囚犯	7		qiúfàn	名
四	1		sì	数
四周	5		sìzhōu	名
四处	5		sìchù	名
四季	3		sìjì	名
四方	7		sìfāng	名
四肢	7		sìzhī	名
四通八达	7		sìtōng-bādá	
四面八方	7		sìmiàn-bāfāng	
回	1	3	huí	动、（量）
回信	4		huíxìn	动、名
回升	7		huíshēng	动
回去	2		huíqù	动
回合	7		huíhé	名
回味	7		huíwèi	名、动
回复	4		huífù	动
回头	6		huítóu	动、副、连
回应	7		huíyìng	动
回归	7		huíguī	动
回忆	4		huíyì	动
回忆录	7		huíyìlù	名
回想	7		huíxiǎng	动
回报	6		huíbào	动
回收	5		huíshōu	动
回来	2		huílái	动
回答	3		huídá	动
回落	7		huíluò	动
回避	7		huíbì	动
回顾	6		huígù	动
回馈	7		huíkuì	动
回首	7		huíshǒu	动
因	6		yīn	介、连
因为	2		yīnwèi	介、连
因人而异	7		yīnrén’éryì	
因地制宜	7		yīndì-zhìyí	
因此	4		yīncǐ	连
因素	5		yīnsù	名
因而	5		yīn’ér	连
团	5		tuán	动、名、量
团伙	7		tuánhuǒ	名
团体	6		tuántǐ	名
团员	7		tuányuán	名
团圆	6		tuányuán	动
团结	6		tuánjié	动、形
团聚	7		tuánjù	动
团队	5		tuánduì	名
园	3		yuán	名
园区	7		yuánqū	名
园林	6		yuánlín	名
困	4	5	kùn	形、（动）
困境	7		kùnjìng	名
困惑	7		kùnhuò	形、动
困扰	6		kùnrǎo	动
困难	4		kùnnan	形、名
围	5		wéi	动
围墙	7		wéiqiáng	名
围巾	5		wéijīn	名
围棋	6		wéiqí	名
围绕	5		wéirào	动
围观	7		wéiguān	动
固体	6		gùtǐ	名
固化	7		gùhuà	动
固定	5		gùdìng	动
固执	7		gùzhi	形
固有	7		gùyǒu	形
固然	7		gùrán	连
国	1		guó	名
国产	6		guóchǎn	形
国务院	7		guówùyuàn	名
国土	7		guótǔ	名
国学	7		guóxué	名
国宝	6		guóbǎo	名
国家	3		guójiā	名
国庆	5		guóqìng	名
国徽	7		guóhuī	名
国情	6		guóqíng	名
国旗	6		guóqí	名
国有	7		guóyǒu	动
国歌	6		guógē	名
国民	7		guómín	名
国王	6		guówáng	名
国画	5		guóhuà	名
国籍	4		guójí	名
国防	7		guófáng	名
国际	4		guójì	形、名
图	4	7	tú	名、（动）
图书	5		túshū	名
图书馆	3		túshūguǎn	名
图像	6		túxiàng	名
图形	7		túxíng	名
图案	6		tú’àn	名
图片	4		túpiàn	名
图画	5		túhuà	名
图纸	7		túzhǐ	名
图表	6		túbiǎo	名
圆	5		yuán	名、形
圆满	6		yuánmǎn	形
圈	6		quān	名、动
圈套	7		quāntào	名
圈子	7		quānzi	名
土	4	6	tǔ	名、（形）
土地	5		tǔdì	名
土壤	6		tǔrǎng	名
土生土长	7		tǔshēng-tǔzhǎng	
土豆	5		tǔdòu	名
圣贤	7		shèngxián	名
在	1		zài	动、介、副
在乎	5		zàihu	动
在于	5		zàiyú	动
在内	5		zàinèi	名
在场	5		zàichǎng	动
在意	6		zàiyì	动
在所难免	7		zàisuǒnánmiǎn	
在线	5		zàixiàn	动
在职	7		zàizhí	动
地	2		de	助
地下	5		dìxià	名、形
地下水	7		dìxiàshuǐ	名
地位	5		dìwèi	名
地势	7		dìshì	名
地区	5		dìqū	名
地图	3		dìtú	名
地址	4		dìzhǐ	名
地域	6		dìyù	名
地带	7		dìdài	名
地形	6		dìxíng	名
地方	3		dìfang	名
地板	7		dìbǎn	名
地步	7		dìbù	名
地段	7		dìduàn	名
地毯	7		dìtǎn	名
地点	3		dìdiǎn	名
地狱	7		dìyù	名
地球	4		dìqiú	名
地理	5		dìlǐ	名
地质	6		dìzhì	名
地道	6		dìdao	形
地铁	2		dìtiě	名
地震	5		dìzhèn	动
地面	5		dìmiàn	名
场	4		chǎng	量
场合	6		chǎnghé	名
场地	6		chǎngdì	名
场所	5		chǎngsuǒ	名
场景	6		chǎngjǐng	名
场次	6		chǎngcì	名
场面	6		chǎngmiàn	名
场馆	6		chǎngguǎn	名
均	7		jūn	形、动、副
均匀	6		jūnyún	形
均衡	7		jūnhéng	形
坎坷	7		kǎnkě	形
坏	2		huài	形
坏处	4		huàichù	名
坐	1		zuò	动
坐落	7		zuòluò	动
坑	7		kēng	名、动
块	1		kuài	量
坚信	7		jiānxìn	动
坚决	6		jiānjué	形
坚固	6		jiāngù	形
坚守	7		jiānshǒu	动
坚定	6		jiāndìng	形、动
坚实	7		jiānshí	形
坚强	5		jiānqiáng	形
坚持	3		jiānchí	动
坚果	7		jiānguǒ	名
坚硬	6		jiānyìng	形
坚韧	7		jiānrèn	形
坛	7		tán	名
坝	7		bà	名
坟	7		fén	名
坟墓	7		fénmù	名
坠	7		zhuì	动、名
坠落	7		zhuìluò	动
坡	6		pō	名、形
坦克	7		tǎnkè	名
坦然	7		tǎnrán	形
坦率	7		tǎnshuài	形
坦白	7		tǎnbái	形、动
坦言	7		tǎnyán	动、名
坦诚	7		tǎnchéng	形
垂	7		chuí	动
垂头丧气	7		chuítóu-sàngqì	
垂直	6		chuízhí	动
垃圾	4		lājī	名
垄断	7		lǒngduàn	动
型号	6		xínghào	名
垫	7		diàn	动、名
垫子	7		diànzi	名
垫底	7		diàndǐ	动
垮	7		kuǎ	动
埋	6		mái	动
埋伏	7		máifú	动
埋头苦干	7		máitóu-kǔgàn	
埋怨	7		mányuàn	动
埋没	7		máimò	动
埋葬	7		máizàng	动
埋藏	7		máicáng	动
城	4		chéng	名
城区	5		chéngqū	名
城墙	7		chéngqiáng	名
城市	3		chéngshì	名
城镇	6		chéngzhèn	名
培养	5		péiyǎng	动
培育	6		péiyù	动
培训	5		péixùn	动
基于	7		jīyú	介
基准	7		jīzhǔn	名
基因	6		jīyīn	名
基地	6		jīdì	名
基层	7		jīcéng	名
基建	7		jījiàn	名
基本	4		jīběn	形、副
基本上	4		jīběnshàng	副
基本功	7		jīběngōng	名
基础	4		jīchǔ	名
基金	6		jījīn	名
基金会	7		jījīnhuì	名
堂	7		táng	名、量
堆	5		duī	动、名、量
堆砌	7		duīqì	动
堆积	7		duījī	动
堕落	7		duòluò	动
堡垒	7		bǎolěi	名
堤	7		dī	名
堤坝	7		dībà	名
堪称	7		kānchēng	动
堵	5		dǔ	动、形、量
堵塞	7		dǔsè	动
堵车	4		dǔchē	动
塌	7		tā	动
塑料	4		sùliào	名
塑造	6		sùzào	动
塔	6		tǎ	名
塞	6		sāi	动、名
填	5		tián	动
填充	7		tiánchōng	动
填写	4		tiánxiě	动
填补	7		tiánbǔ	动
境内	7		jìngnèi	名
境地	7		jìngdì	名
境外	7		jìngwài	名
境界	7		jìngjiè	名
境遇	7		jìngyù	名
墓	7		mù	名
墓地	7		mùdì	名
墓碑	7		mùbēi	名
墙	5		qiáng	名
墙壁	6		qiángbì	名
增	5		zēng	动
增产	7		zēngchǎn	动
增值	7		zēngzhí	动
增加	4		zēngjiā	动
增强	5		zēngqiáng	动
增收	7		zēngshōu	动
增添	7		zēngtiān	动
增进	5		zēngjìn	动
增速	7		zēngsù	动
增长	4		zēngzhǎng	动
墨	7		mò	名
墨水	7		mòshuǐ	名
壁垒	7		bìlěi	名
壁画	7		bìhuà	名
士兵	6		shìbīng	名
士气	7		shìqì	名
壮	7		zhuàng	形、动
壮丽	7		zhuànglì	形
壮大	7		zhuàngdà	形、动
壮烈	7		zhuàngliè	形
壮观	7		zhuàngguān	名、形
声	3		shēng	名、量
声势	7		shēngshì	名
声明	7		shēngmíng	动、名
声望	7		shēngwàng	名
声称	7		shēngchēng	动
声誉	7		shēngyù	名
声调	6		shēngdiào	名
声音	3		shēngyīn	名
壳	7		ké	名
壶	6		hú	名
处	5		chù	名
处事	7		chǔshì	动
处于	5		chǔyú	动
处分	7		chǔfèn	动、名
处境	7		chǔjìng	名
处处	6		chùchù	副
处方	7		chǔfāng	动、名
处理	5		chǔlǐ	动
处罚	6		chǔfá	动
处置	7		chǔzhì	动
备	7		bèi	动、副
备份	7		bèifèn	名、动
备忘录	7		bèiwànglù	名
备战	7		bèizhàn	动
备用	6		bèiyòng	动
备课	7		bèikè	动
复习	3		fùxí	动
复兴	7		fùxīng	动
复制	5		fùzhì	动
复印	4		fùyìn	动
复原	7		fùyuán	动
复发	7		fùfā	动
复合	7		fùhé	动
复杂	4		fùzá	形
复查	7		fùchá	动
复活	7		fùhuó	动
复苏	7		fùsū	动
夏令营	6		xiàlìngyíng	名
夏天	3		xiàtiān	名
夕阳	7		xīyáng	名、形
外	1		wài	名
外交	6		wàijiāo	名
外公	5		wàigōng	名
外出	4		wàichū	动
外卖	3		wàimài	动、名
外号	7		wàihào	名
外向	7		wàixiàng	形
外国	2		wàiguó	名
外在	7		wàizài	形
外地	3		wàidì	名
外套	4		wàitào	名
外婆	5		wàipó	名
外币	7		wàibì	名
外形	5		wàixíng	名
外援	7		wàiyuán	名
外星人	7		wàixīngrén	名
外来	6		wàilái	形
外汇	7		wàihuì	名
外甥	6		wàisheng	名
外界	6		wàijiè	名
外科	6		wàikē	名
外籍	7		wàijí	名
外行	7		wàiháng	形、名
外表	6		wàibiǎo	名
外观	5		wàiguān	名
外语	3		wàiyǔ	名
外貌	7		wàimào	名
外贸	7		wàimào	名
外资	7		wàizī	名
外边	1		wàibian	名
外部	5		wàibù	名
外面	2		wàimiàn	名
多	1	2	duō	形、动、代、（数、副）
多么	4		duōme	副
多亏	6		duōkuī	动
多余	6		duōyú	动、形
多元	6		duōyuán	形
多半	7		duōbàn	数、副
多媒体	6		duōméitǐ	名
多少	1		duōshao	代
多年来	7		duō	nián lái
多心	7		duōxīn	动
多才多艺	6		duōcái-duōyì	
多数	4		duōshù	名
多样	4		duōyàng	形
多边	7		duōbiān	形
夜	4		yè	名、量
夜以继日	7		yèyǐjìrì	
夜宵	7		yèxiāo	名
夜市	5		yèshì	名
夜晚	4		yèwǎn	名
夜校	7		yèxiào	名
夜班	7		yèbān	名
夜间	5		yèjiān	名
够	4		gòu	动、副
够呛	7		gòuqiàng	形
大	1		dà	形
大不了	7		dàbuliǎo	形、副
大为	7		dàwéi	副
大事	5		dàshì	名
大于	5		dàyú	动
大人	3		dàren	名
大众	5		dàzhòng	名
大伙儿	6		dàhuǒr	代
大会	5		dàhuì	名
大体	7		dàtǐ	名、副
大使	6		dàshǐ	名
大公无私	7		dàgōng-wúsī	
大力	5		dàlì	名、副
大厅	4		dàtīng	名
大厦	5		dàshà	名
大吃一惊	6		dàchī-yìjīng	
大同小异	7		dàtóng-xiǎoyì	
大名鼎鼎	7		dàmíng-dǐngdǐng	
大地	6		dàdì	名
大型	5		dàxíng	形
大多	5		dàduō	副
大大	4		dàdà	副
大大咧咧	7		dàdaliēliē	形
大夫	4		dàifu	名
大妈	5		dàmā	名
大学	1		dàxué	名
大学生	1		dàxuéshēng	名
大宗	7		dàzōng	形、名
大家	1		dàjiā	代
大小	3		dàxiǎo	名
大局	7		dàjú	名
大巴	4		dàbā	名
大师	6		dàshī	名
大幅	6		dàfú	副
大惊小怪	7		dàjīng-xiǎoguài	
大意	7		dàyì	名
大批	5		dàpī	形
大数据	7		dàshùjù	名
大方	6		dàfang	形
大有可为	7		dàyǒu-kěwéi	
大概	3	6	dàgài	形、副、（名）
大气	7		dàqì	名、形
大洋洲	6		Dàyángzhōu	名
大熊猫	3		dàxióngmāo	名
大爷	5		dàye	名
大片	7		dàpiàn	名
大米	5		dàmǐ	名
大约	4		dàyuē	副
大纲	7		dàgāng	名
大肆	7		dàsì	副
大胆	5		dàdǎn	形
大脑	5		dànǎo	名
大臣	6		dàchén	名
大自然	4		dàzìrán	名
大致	6		dàzhì	形、副
大街小巷	7		dàjiē-xiǎoxiàng	
大衣	3		dàyī	名
大象	5		dàxiàng	名
大赛	4		dàsài	名
大都	6		dàdū	副
大量	4		dàliàng	形
大陆	7		dàlù	名
大雁	7		dàyàn	名
天	1		tiān	名、量
天上	5		tiānshàng	名
天下	6		tiānxià	名
天伦之乐	7		tiānlúnzhīlè	
天使	7		tiānshǐ	名
天分	7		tiānfèn	名
天地	7		tiāndì	名
天堂	7		tiāntáng	名
天平	7		tiānpíng	名
天性	7		tiānxìng	名
天才	6		tiāncái	名
天敌	7		tiāndí	名
天文	6		tiānwén	名
天桥	7		tiānqiáo	名
天气	1		tiānqì	名
天然	6		tiānrán	形
天然气	6		tiānránqì	名
天生	7		tiānshēng	形
天真	6		tiānzhēn	形
天空	5		tiānkōng	名
天线	7		tiānxiàn	名
天经地义	7		tiānjīng-dìyì	
天花板	7		tiānhuābǎn	名
天赋	7		tiānfù	动、名
天长地久	7		tiāncháng-dìjiǔ	
天鹅	7		tiān’é	名
太	1		tài	副
太太	5		tàitai	名
太平	7		tàipíng	形
太极	7		tàijí	名
太空	6		tàikōng	名
太阳	3		tàiyáng	名
太阳能	6		tàiyángnéng	名
夫人	6		fūrén	名
夫妇	5		fūfù	名
夫妻	3		fūqī	名
夯实	7		hāngshí	动
失业	5		shīyè	动
失事	7		shīshì	动
失传	7		shīchuán	动
失利	7		shīlì	动
失去	4		shīqù	动
失态	7		shītài	动
失恋	5		shīliàn	动
失控	7		shīkòng	动
失效	7		shīxiào	动
失明	7		shīmíng	动
失望	4		shīwàng	动、形
失灵	7		shīlíng	动
失眠	5		shīmián	动
失礼	7		shīlǐ	动
失落	7		shīluò	动、形
失误	5		shīwù	动、名
失败	4		shībài	动、形
失踪	7		shīzōng	动
头	2	3,5	tóu	名、（量）、（形）
头发	3		tóufa	名
头号	7		tóuhào	形
头头是道	7		tóutóu-shìdào	
头条	7		tóutiáo	名
头痛	4		tóutòng	形
头脑	6		tóunǎo	名
头衔	7		tóuxián	名
夸	6		kuā	动
夸大	7		kuādà	动
夸夸其谈	7		kuākuā-qítán	
夸奖	6		kuājiǎng	动
夸张	6		kuāzhāng	形
夸耀	7		kuāyào	动
夹	6		jiā	动
夹子	7		jiāzi	名
夹杂	7		jiāzá	动
夺	6		duó	动
夺冠	7		duóguàn	动
夺取	6		duóqǔ	动
夺魁	7		duókuí	动
奇妙	7		qímiào	形
奇怪	3		qíguài	形
奇特	7		qítè	形
奇观	7		qíguān	名
奇迹	5		qíjì	名
奉献	6		fèngxiàn	动
奋力	7		fènlì	副
奋勇	7		fènyǒng	动
奋斗	5		fèndòu	动
奏效	7		zòuxiào	动
契机	7		qìjī	名
契约	7		qìyuē	名
奔	7		bèn	动
奔波	7		bēnbō	动
奔赴	7		bēnfù	动
奔跑	6		bēnpǎo	动
奔驰	7		bēnchí	动
奖	4	5	jiǎng	名、（动）
奖励	5		jiǎnglì	动
奖品	6		jiǎngpǐn	名
奖学金	4		jiǎngxuéjīn	名
奖杯	7		jiǎngbēi	名
奖牌	6		jiǎngpái	名
奖赏	7		jiǎngshǎng	动
奖金	4		jiǎngjīn	名
奖项	7		jiǎngxiàng	名
套	5		tào	名、动、量
套餐	6		tàocān	名
奚落	7		xīluò	动
奠定	7		diàndìng	动
奢侈	7		shēchǐ	形
奢望	7		shēwàng	动、名
奥秘	7		àomì	名
女	1		nǚ	形
女人	3		nǚrén	名
女儿	1		nǚ’ér	名
女士	1		nǚshì	名
女婿	7		nǚxu	名
女子	5		nǚzǐ	名
女孩儿	2		nǚháir	名
女性	4		nǚxìng	名
女方	7		nǚfāng	名
女朋友	1		nǚpéngyou	名
女生	3		nǚshēng	名
奴隶	7		núlì	名
奶奶	2		nǎinai	名
奶粉	6		nǎifěn	名
奶茶	2		nǎichá	名
奶酪	7		nǎilào	名
奸诈	7		jiānzhà	形
她	1		tā	代
她们	1		tāmen	代
好	1	2,4	hǎo	形、（副）、（动）
好不	6		hǎobù	副
好久	3		hǎojiǔ	形
好似	7		hǎosì	动
好像	3		hǎoxiàng	动、副
好受	7		hǎoshòu	形
好吃	1		hǎochī	形
好听	1		hǎotīng	形
好在	7		hǎozài	副
好处	4		hǎochù	名
好多	3		hǎoduō	数
好奇	5		hàoqí	形
好好	4		hǎohǎo	形、副
好学	6		hàoxué	动
好客	6		hàokè	形
好容易	6		hǎoróngyì	形
好心	7		hǎoxīn	名
好意	7		hǎoyì	名
好感	6		hǎogǎn	名
好歹	7		hǎodǎi	名、副
好比	7		hǎobǐ	动
好玩儿	1		hǎowánr	形
好看	1		hǎokàn	形
好笑	4		hǎoxiào	形
好胜	7		hàoshèng	形
好评	5		hǎopíng	名
好说	7		hǎoshuō	动
好转	5		hǎozhuǎn	动
好运	5		hǎoyùn	名
如	5		rú	动、连
如一	7		rúyī	动
如下	5		rúxià	动
如今	5		rújīn	名
如何	5		rúhé	代
如同	5		rútóng	动
如实	7		rúshí	副
如意	7		rúyì	动、名
如愿以偿	7		rúyuànyǐcháng	
如期	7		rúqī	副
如果	3		rúguǒ	连
如此	5		rúcǐ	代
如痴如醉	7		rúchī-rúzuì	
妄想	7		wàngxiǎng	动、名
妇女	5		fùnǚ	名
妈妈	1		māma	名
妖怪	7		yāoguài	名
妙	6		miào	形
妥	7		tuǒ	形
妥协	7		tuǒxié	动
妥善	7		tuǒshàn	形
妥当	7		tuǒdàng	形
妨碍	6		fáng’ài	动
妹妹	1		mèimei	名
妻子	2		qīzi	名
始终	5		shǐzhōng	名、副
姐妹	3		jiěmèi	名
姐姐	1		jiějie	名
姑且	7		gūqiě	副
姑姑	6		gūgu	名
姑娘	4		gūniang	名
姓	2		xìng	名、动
姓名	2		xìngmíng	名
姓氏	7		xìngshì	名
委员	7		wěiyuán	名
委员会	7		wěiyuánhuì	名
委婉	7		wěiwǎn	形
委屈	6		wěiqu	形、动
委托	6		wěituō	动
姜	7		jiāng	名
姥姥	5		lǎolao	名
姥爷	5		lǎoye	名
姨	6		yí	名
姿势	5		zīshì	名
姿态	7		zītài	名
威信	7		wēixìn	名
威力	7		wēilì	名
威慑	7		wēishè	动
威望	7		wēiwàng	名
威胁	5		wēixié	动
威风	7		wēifēng	名、形
娃娃	6		wáwa	名
娇惯	7		jiāoguàn	动
娇气	7		jiāoqì	形
娘	7		niáng	名
娱乐	5		yúlè	动、名
娶	6		qǔ	动
婚姻	6		hūnyīn	名
婚礼	5		hūnlǐ	名
婚纱	7		hūnshā	名
婴儿	6		yīng’ér	名
媒介	7		méijiè	名
媒体	5		méitǐ	名
媲美	7		pìměi	动
媳妇	6		xífu	名
嫁	6		jià	动
嫁妆	7		jiàzhuang	名
嫂子	7		sǎozi	名
嫉妒	7		jídù	动
嫌	6		xián	动
嫌弃	7		xiánqì	动
嫌疑	7		xiányí	名
嫩	7		nèn	形
嬉笑	7		xīxiào	动
子	3		zi	后缀
子女	5		zǐnǚ	名
子孙	7		zǐsūn	名
子弟	7		zǐdì	名
子弹	7		zǐdàn	名
孔	7		kǒng	名
孕妇	7		yùnfù	名
孕育	7		yùnyù	动
字	1		zì	名
字体	7		zìtǐ	名
字典	3		zìdiǎn	名
字幕	6		zìmù	名
字母	5		zìmǔ	名
字眼	7		zìyǎn	名
字迹	7		zìjì	名
存	4		cún	动
存储	6		cúnchǔ	动
存在	5		cúnzài	动
存心	7		cúnxīn	动、副
存折	7		cúnzhé	名
存放	5		cúnfàng	动
存款	5		cúnkuǎn	动、名
存活	7		cúnhuó	动
存货	7		cúnhuò	动、名
孙女	4		sūnnǚ	名
孙子	4		sūnzi	名
孝敬	7		xiàojìng	动
孝顺	7		xiàoshùn	动
季	3		jì	名
季军	6		jìjūn	名
季度	5		jìdù	名
季节	3		jìjié	名
孤儿	7		gū’ér	名
孤单	7		gūdān	形
孤独	6		gūdú	形
孤立	7		gūlì	形、动
孤陋寡闻	7		gūlòu-guǎwén	
孤零零	7		gūlínglíng	形
学	1		xué	动
学业	7		xuéyè	名
学习	1		xuéxí	动
学会	6		xuéhuì	名
学位	6		xuéwèi	名
学分	5		xuéfēn	名
学历	5		xuélì	名
学员	6		xuéyuán	名
学士	7		xuéshì	名
学子	7		xuézǐ	名
学年	5		xuénián	名
学期	3		xuéqī	名
学术	5		xuéshù	名
学校	1		xuéxiào	名
学生	1		xuéshēng	名
学科	5		xuékē	名
学者	5		xuézhě	名
学识	7		xuéshí	名
学说	7		xuéshuō	名
学费	4		xuéfèi	名
学问	6		xuéwen	名
学院	4		xuéyuàn	名
