word	level
仰	6
仰望	7
仲裁	7
件	1
价位	7
价值	5
价值观	7
价格	4
价钱	4
任	7
任何	4
任务	4
任命	7
任性	7
任意	7
任期	7
任职	7
任重道远	7
份	4
份额	7
仿	7
仿佛	5
仿制	7
仿真	7
企业	5
企图	7
休假	3
休克	7
休养	7
休息	1
休想	7
休眠	7
休闲	5
众人	6
众多	5
众志成城	7
众所周知	6
优先	6
优势	5
优化	6
优异	6
优惠	5
优点	4
优秀	4
优美	5
优胜劣汰	7
优良	5
优质	5
优越	7
优雅	7
伙	5
伙伴	5
伙食	7
会	1
会员	4
会场	7
会意	7
会晤	7
会见	6
会计	6
会议	3
会诊	7
会谈	7
会面	7
伞	3
伟大	5
传	5
传人	7
传单	7
传奇	7
传媒	7
传承	6
传授	6
传播	5
传染	6
传染病	6
传真	6
传统	5
传言	7
传记	7
传说	5
传输	6
传达	6
传递	5
传闻	7
伤	5
伤亡	6
伤势	7
伤口	6
伤员	6
伤害	5
伤心	4
伤感	7
伤残	7
伤痕	7
伤脑筋	7
伦理	7
伪装	7
伪造	7
伯伯	7
伯母	7
伯父	7
估算	7
估计	4
伴	7
伴侣	7
伴奏	7
伴随	6
伸	5
伸张	7
伸手	7
伸缩	7
伺候	7
伺机	7
似乎	5
似是而非	7
似曾相识	7
似的	5
但	2
但愿	7
但是	2
位	2
位于	5
位子	7
位置	5
低	4
低下	7
低于	4
低价	4
低估	7
低头	5
低温	4
低碳	6
低落	7
低调	7
低谷	7
低迷	7
住	1
住址	5
住处	7
住宅	6
住宿	5
住户	7
住房	5
住院	3
体会	5
体制	7
体力	5
体态	7
体操	6
体检	4
体温	4
体现	5
体积	6
体系	6
体育	3
体育馆	3
体能	7
体裁	7
体谅	7
体质	7
体贴	7
体重	4
体面	7
体验	5
体魄	7
何	7
何况	7
何必	7
何止	7
何等	7
何苦	7
余	7
余地	7
余额	6
佛	7
作业	3
作为	4
作出	5
作品	4
作客	7
作家	4
作对	7
作废	7
作弊	7
作息	7
作战	7
作文	4
作料	7
作物	7
作用	4
作者	4
作风	7
你	1
你们	1
你好	1
佩戴	7
佩服	6
佳肴	7
佳节	7
使	4
使劲	6
使命	7
使唤	7
使得	5
使用	4
使者	7
使馆	4
侃侃而谈	7
侄子	6
例外	6
例如	4
例子	4
侍候	7
供	7
供不应求	7
供养	7
供奉	7
供应	6
供应链	7
供暖	7
供求	7
供给	6
供需	7
依	7
依依不舍	7
依托	7
依据	5
依旧	6
依次	7
依法	7
依然	5
依照	7
依赖	6
依附	7
依靠	5
侥幸	7
侦探	7
侦查	7
侧	6
侧重	7
侧面	7
侮辱	7
侵占	7
侵害	7
侵权	7
侵犯	7
侵略	7
便	5
便于	4
便利	5
便利店	5
便宜	1
便捷	6
便携式	7
便饭	7
促使	5
促成	7
促进	5
促销	5
俊	7
俊俏	7
俗	7
俗称	7
俗话	7
俗语	7
俘获	7
俘虏	7
保	5
保佑	7
保修	6
保健	6
保养	7
保卫	7
保姆	7
保存	5
保守	7
保安	5
保密	7
保护	4
保持	5
保暖	6
保留	5
保管	6
保证	4
保质期	5
保重	7
保险	5
保障	6
保鲜	7
信	3
信仰	7
信件	7
信任	5
信号	4
信封	5
信心	4
信念	6
信息	4
信用	5
信用卡	3
信誉	7
信贷	7
信赖	6
俩	4
修	4
修养	7
修复	6
修建	5
修改	5
修正	7
修理	4
修补	7
修订	6
修长	7
俯视	7
俯首	7
俱乐部	6
倍	4
倍增	6
倒	4
倒塌	7
倒数	7
倒是	6
倒计时	7
倒车	6
倒退	7
倒闭	6
倒霉	7
倔	7
倔强	7
倘若	7
候选人	7
倚	7
借	3
借助	6
借口	7
借条	7
借用	7
借鉴	6
倡导	7
倡议	7
债	7
债券	7
债务	7
值	4
值得	4
值班	6
值钱	7
倾倒	7
倾向	6
倾听	6
倾家荡产	7
倾斜	7
倾诉	7
倾销	7
假	4
假使	7
假冒	7
假如	5
假定	7
假日	4
假期	3
假装	7
假设	6
偏	7
偏偏	7
偏僻	7
偏向	7
偏差	7
偏旁	7
偏爱	7
偏离	7
偏见	7
偏远	7
做	1
做主	7
做客	3
做梦	4
做法	4
做证	7
做饭	1
停	4
停业	7
停放	7
停止	4
停泊	7
停滞	7
停留	5
停车	4
停车场	4
停顿	7
健全	6
健壮	7
健康	3
健美	7
健身	4
健身房	4
偶像	6
偶尔	4
偶然	5
偷	6
偷偷	6
偷懒	7
偷窥	7
偿还	7
傍晚	5
储备	7
储存	6
储蓄	6
储量	7
催	5
催促	7
催眠	7
傲	7
傲慢	7
傻	5
傻瓜	7
像	3
像样	7
僧人	7
僵	7
僵化	7
僵局	7
僵硬	7
僻静	7
儿女	5
